resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Kerikil (Maksimum 30mm),Kerikil (Maksimum 30mm),Material,General,kg,0.0,0.0,0.0,0.0,0,IDR,0.0,1039.0,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
4. Air,4. Air,Material,General,Liter,0.0,0.0,0.0,0.0,0,IDR,0.0,215.0,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
3. Kerikil (Maks 30mm),3. Kerikil (Maks 30mm),Material,General,kg,0.0,0.0,0.0,0.0,0,IDR,0.0,1012.0,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
2. Pasir beton,2. Pasir beton,Material,General,kg,0.0,0.0,0.0,0.0,0,IDR,0.0,828.0,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
1. Semen Portland,1. Semen Portland,Material,General,kg,0.0,0.0,0.0,0.0,0,IDR,0.0,276.0,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
"Propeller, 375 CFM dan aksesoris","Propeller, 375 CFM dan aksesoris",Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Propeller, 150 CFM dan aksesoris","Propeller, 150 CFM dan aksesoris",Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Propeller, 100 CFM dan aksesoris","Propeller, 100 CFM dan aksesoris",Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Propeller, 75 CFM dan aksesoris","Propeller, 75 CFM dan aksesoris",Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Bifurcated; 1.500 CFM dan aksesoris,Bifurcated; 1.500 CFM dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Ceilling Fan Rotary dan aksesoris,Ceilling Fan Rotary dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Rotary Fan dan aksesoris,Rotary Fan dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Axial Fan ; 5.500 CFM dan aksesoris,Axial Fan ; 5.500 CFM dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Axial Fan ; 4.000 CFM dan aksesoris,Axial Fan ; 4.000 CFM dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
