resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
RL02500,TABLERO CONTRACHAPADO 16 mm CHAPADO MADERA FINA UNA CARA,Material,General,m2,1910.8,1910.8,1910.8,1910.8,1,MXN,2101.88,1.1,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL02400,TABLERO CONTRACHAPADO 16 mm PARA EXTERIORES,Material,General,m2,1469.77,1469.77,1469.77,1469.77,1,MXN,1616.75,1.1,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL02300,TABLERO AGLOMERADO AD MELAMINA A 2 CARAS DE 13 mm,Material,General,m2,180.17,180.17,180.17,180.17,1,MXN,198.19,1.1,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL02200,"TABLERO FIBRAS MADERA Y RESINAS, IGNÍFUGO DM 10 mm",Material,General,m2,247.1,247.1,247.1,247.1,1,MXN,252.04,1.02,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL02000,TABLERO FIBRAS MADERA Y RESINAS DM 10 mm,Material,General,m2,91.17,91.17,91.17,91.17,1,MXN,92.99,1.02,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL01900,TABLERO MACHIHEMBRADO PINO SORIA S/NUDOS 10 mm,Material,General,m2,272.79,272.79,272.79,272.79,1,MXN,278.25,1.02,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL01800,TABLERO FIBRAS MADERAS Y RESINAS DM MACHIEMBRADO REVEST. PINO BA,Material,General,m2,668.41,668.41,668.41,668.41,1,MXN,681.78,1.02,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL01700,TABLERO FIBRAS MADERAS Y RESINAS DM MACHIEMBRADO REVEST. ROBLE B,Material,General,m2,728.46,728.46,728.46,728.46,1,MXN,743.03,1.02,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL01600,TABLERO FIBRAS MADERAS Y RESINAS DM MACHIEMBRADO REVEST. SAPELLY,Material,General,m2,604.73,604.73,604.73,604.73,1,MXN,616.83,1.02,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL01000,TABLERO AGLOMERADO PLASTIFICADO 20 mm,Material,General,m2,349.13,349.13,349.13,349.13,1,MXN,349.13,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL01100,TABLERO AGLOMERADO REVESTIDO EMBERO 20 mm,Material,General,m2,345.51,345.51,345.51,345.51,1,MXN,345.51,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
RL00510,CORCHO EN ROLLO 3 mm,Material,General,m2,134.22,134.22,134.22,134.22,1,MXN,140.94,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Corcho
GP00150,COLA DE CONTACTO,Material,General,kg,118.31,118.31,118.31,118.31,1,MXN,59.15,0.5,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Corcho
RL00500,PANEL CORCHO 5 mm,Material,General,m2,254.16,254.16,254.16,254.16,1,MXN,254.16,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Corcho
RL02910,MOQUETA FIBRA PELO CORTADO,Material,General,m2,150.14,150.14,150.14,150.14,1,MXN,157.65,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
KFJJFSDSSA,trasdosado directo con pasta de agarre con placa WA,Material,General,m2,361.79,361.79,361.79,361.79,1,MXN,361.79,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
HHGHGG,trasdosado directo con pasta de agarre,Material,General,m2,307.52,307.52,307.52,307.52,1,MXN,307.52,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
P124007,Tabique 48+13+48+13+13,Material,General,m2,717.07,717.07,717.07,717.07,1,MXN,717.07,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
GHDVVVSB,Trasdosado PLADUR FOG 13+13 FOG,Material,General,m2,424.92,424.92,424.92,424.92,1,MXN,424.92,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
HJSDFHJKS,trasdosado 13+13w a,Material,General,m2,402.13,402.13,402.13,402.13,1,MXN,402.13,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
FP012001,PANEL CARTÓN-YESO WA 13MM. ESPESOR,Material,General,m2,92.08,92.08,92.08,92.08,1,MXN,92.08,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
RA86040,PLACA HIDRÓFUGA DE CELULOSA DE CEMENTO COLOREADA DE 6 MM ESP.,Material,Concrete & Cement,m2,953.5,953.5,953.5,953.5,1,MXN,953.5,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
RA86030,PLACA HIDRÓFUGA DE CELULOSA DE CEMENTO DE 6 MM ESP.,Material,Concrete & Cement,m2,748.18,748.18,748.18,748.18,1,MXN,785.59,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
FP02800,PANEL CARTÓN-YESO Y FIBRA DE VIDRIO DE 13 mm.,Material,General,m2,389.83,389.83,389.83,389.83,1,MXN,409.32,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
FP02600,PLACA DE YESO LAMINADO Y FIBRA DE VIDRIO ADHERIDA 13+25 mm,Material,General,m2,277.49,277.49,277.49,277.49,1,MXN,291.37,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
RT01350N,PLACA ACÚSTICA FIBRA VIDRIO LISA DESMONTABLE ABSORCIÓN = 1,Material,General,m²,651.4,651.4,651.4,651.4,1,MXN,32.57,0.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
FP02400,PLACA DE YESO LAMINADO Y ESP. POLIURETANO 10+50 mm,Material,General,m2,310.6,310.6,310.6,310.6,1,MXN,326.13,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
FP02300,PLACA DE YESO LAMINADO Y FIBRA DE VIDRIO ADHERIDA 10+25 mm,Material,General,m2,295.76,295.76,295.76,295.76,1,MXN,310.55,1.05,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
RL01500,TABLERO USO 10 mm REVESTIDO PVC,Material,General,m2,473.95,473.95,473.95,473.95,1,MXN,473.95,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
RL01300,TABLERO AGLOMERADO MACHIHEMBRADO REVESTIDO PVC 20 mm,Material,General,m2,580.67,580.67,580.67,580.67,1,MXN,580.67,1.0,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Varios
RL02700,"LAMAS DE DM DE 1 cm CHAPADO DE MADERA PARA BARNIZAR, MACHIHEMBR.",Material,General,m2,403.03,403.03,403.03,403.03,1,MXN,443.34,1.1,1,1,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Madera
IC81030,"UNIDAD INTERIOR DE CONDUCTO VRF 9,0KW/10,0KW",Material,General,u,50570.15,50570.15,50570.15,50570.15,1,MXN,50570.15,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
IC81020,"UNIDAD INTERIOR DE CONDUCTO VRF 7,1KW/8,0KW",Material,General,u,44283.14,44283.14,44283.14,44283.14,1,MXN,44283.14,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
IC81010,"UNIDAD INTERIOR DE CONDUCTO VRF 5,6KW/6,3KW",Material,General,u,43189.62,43189.62,43189.62,43189.62,1,MXN,43189.62,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
IC81000,"UNIDAD INTERIOR DE CONDUCTO VRF 4,5KW/5,0KW",Material,General,u,41822.96,41822.96,41822.96,41822.96,1,MXN,41822.96,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
IC78100,"VENTILOCONVECTOR, APARTAM., 18000 frg/h BAT. INST. 4 TUBOS",Material,General,u,46833.22,46833.22,46833.22,46833.22,1,MXN,46833.22,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
IC78000,"VENTILOCONVECTOR, APARTAM., 15000 frg/h BAT. INST. 4 TUBOS",Material,General,u,38069.39,38069.39,38069.39,38069.39,1,MXN,38069.39,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
IC77900,"VENTILOCONVECTOR, APARTAM., 12000 frg/h BAT. INST. 4 TUBOS",Material,General,u,33864.48,33864.48,33864.48,33864.48,1,MXN,33864.48,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Unidades terminales
